,Brand Name,RXCUI
320,Exforge HCT,1372733
321,Twynsta,1372734
322,Prestalia,1600717
323,Consensi,2049588
324,Lotrel,218090
325,Katerzia,2184121
326,Norliqva,2599174
327,Caduet,404914
328,Norvasc,58927
329,Exforge,722127
330,Azor,730862
331,Amytal,151348
332,Amoxi-tabs,1358969
333,Augmentin,151392
334,Clavacillin,2108823
335,Biomox,215687
336,Trimox,220466
337,Talicia,2262027
338,Umbrellin,2598541
339,Betacilin,2692879
340,Kesium,2697440
341,Moxatag,828243
342,Clavamox,897045
343,Amoxi Drop,897049
344,Evekeo,1600688
345,Dyanavel,1720587
346,Adzenys,1739804
347,Mydayis,1927611
348,Adderall,84815
349,AmBisome,151338
350,Abelcet,81507
351,Polyflex,1044193
352,Unasyn,57773
353,CORID,1006658
354,Amprol,1092541
355,AmproMed for Calves,1429028
356,Ampromed-P,1429877
357,Amprid,1432952
358,Cocci-Cure C for Calves,1433193
359,Cocci-Cure P for Poultry,1551383
360,Zenpep,1117097
361,Viokace,1245781
362,Pertzye,1294123
363,Pancreaze,1372686
364,PanaKare,1421002
365,PancrePlus,1423484
366,Creon,48470
367,Nexobrid,2626743
368,Agrylin,215060
369,Kineret,352734
370,Arimidex,262485
371,Andexxa,2045130
372,Giapreza,1999008
373,Eraxis,617817
374,Saphnelo,2565282
375,Ebanga,2472157
376,Zithranol,1245900
377,Micanol,152975
378,Drithocreme,92522
379,Anthrasil,1722341
380,Feiba,968897
381,Altuviiio,2631089
382,Thrombate III,220305
383,ATryn,834852
384,Erleada,1999582
385,Eliquis,1364436
386,Kynmobi,2371044
387,Apokyn,544581
388,Iopidine,151908
389,Otezla,1492733
390,Cinvanti,1995151
391,Aponvie,2631784
392,Emend,357280
393,Tryvio,2679065
394,Brovana,669390
395,CanineAid,1010245
396,FelineAid,1010564
397,EquineAid,1010568
400,"Aminosyn-RF 5.2 %, Sulfite-Free",1094084
434,Miplyffa,2694289
435,Opipza,2697159
436,Abilify,352393
437,Aristada,1673270
438,Nuvigil,710995
439,Trisenox,829877
440,Coartem,718834
441,Orabloc,1372758
442,Ultacan,1928854
443,Septocaine,285091
444,Zorcaine,584570
445,Articadent,861348
446,Scemblix,2584321
447,Ferocon,1087205
448,Ferraplus,1087235
449,Folivane-F,1087299
450,Hemax,1087407
451,Icar-C Plus,1087415
452,Icar C,1088866
453,Macuvite with Lutein,1090833
454,Multi-Delyn,1090969
455,Irospan Tablet,1102203
456,Lactocal,1116180
457,Vitafol-One,1119570
458,Halls Defense,1150074
461,Concept OB,1314667
462,Hematogen,1372721
463,Vitron-C Reformulated Jul 2016,1799173
464,Ascor,2002735
465,C-Time,215794
466,Cemill 1000,215931
467,N Ice with Vitamin C,218556
468,Ocuvite,218860
469,Poly-Vi-Sol,219298
470,Poly-Vi-Sol with Iron,219301
471,Tri-Vi-Sol,220413
473,Ocuvite Lutein,352845
474,Dialyvite 800,404991
475,Dialyvite 800 with Zinc,404993
476,MoviPrep,669559
477,Rena-Vite,669602
478,Ferralet 90,796381
479,Ferrex 150 Plus,807797
480,Dialyvite 800 with Iron,826624
481,PreserVision,829647
482,Folitab,861069
483,MVC-Fluoride,881173
484,PreserVision with Lutein,891817
485,Integra F,999736
486,Secuado,2265724
487,Saphris,859976
488,Strensiq,1720264
489,Erwinaze,1232186
490,Rylaze,2561252
504,Ecpirin,1001473
506,Stanback Headache Powder Reformulated Jan 2011,1053324
507,BC Arthritis,1247393
508,BC Original Formula,1247398
510,Bromo Seltzer Antacid Pain Reliever,1312950
513,Ascomp,1372693
515,Aspi-Cor,1600986
516,Durlaza,1665357
517,Alka-Seltzer,17315
518,Yosprala,1811911
520,Aspergum,202546
521,Ecotrin,202554
522,Anacin,215256
523,Bayer Aspirin,215568
524,Bufferin,215770
526,Norgesic,218776
527,Norwich Aspirin,218783
528,P-A-C Analgesic,219010
530,St. Joseph Aspirin,220011
532,Equagesic,24292
533,Vazalore,2563423
534,Orphengesic,261599
537,Anacin Aspirin Regimen,724441
538,Miniprin,847088
539,Evotaz,1601655
540,Reyataz,382467
541,Tenormin,152413
542,Tenoretic,37789
543,Tecentriq,1792781
544,Tecentriq Hybreza,2693894
545,Lenmeldy,2677922
546,Revertidine,2123358
547,Contrased,2665918
548,Cropamezole,2665924
549,Revertased,2665930
550,Inversedine,2686037
551,Antisedan,646266
552,Qulipta,2571837
553,Inmazeb,2461531
554,Strattera,358330
555,Lipitor,153165
556,Lypqozet,2611243
557,Atorvaliq,2631862
559,Mepron,114972
560,Malarone,153767
561,Donnatal,115141
562,Phenohytro,1739882
563,Enlon-Plus,216913
564,Motofen,218445
565,Lomotil,28874
566,Atropen,404863
567,Duodote,717229
568,Isopto Atropine,92995
569,Toxi-Sorb,894868
570,Ridaura,202952
571,Izervay,2645114
572,Tavneos,2572106
573,Nexviazyme,2565819
574,Stendra,1291307
575,Ayvakit,2272113
576,Doptelet,2045953
577,Bavencio,1875543
578,Avycaz,1603841
579,Emblaveo,2705356
580,Niktimvo,2691536
581,Yescarta,1987403
582,Inlyta,1243005
583,Onureg,2396765
584,Vidaza,545203
585,Imuran,202559
586,Azasan,404872
587,Dymista,1291861
588,Astepro,824962
589,NicAzel,1145111
590,Azelex,215499
591,Finacea,352645
592,Edarbi,1091647
593,Edarbyclor,1372759
594,Zithromax,196474
595,AzaSite,706869
596,Azactam,202561
598,Cayston,901611
599,Cyfendus,2665605
600,Biothrax,404894
601,ProCoMycin,1089096
602,Rash Relief Antibacterial,1089114
603,Tri Biozene,1089856
604,Neo-Polycin HC,1116151
605,Neo-Polycin,1117087
606,Cuadriderma,1673562
607,Baci-IM,215534
608,Baciguent,215536
609,Polycin,219307
610,Lanabiotic,261550
611,Spectrocin Plus,261655
612,Polysporin,54955
613,Mycitracin Plus Pain Reliever,93372
614,Gablofen,1047432
615,Lioresal,202996
616,Ozobax,2201573
617,Lyvispah,2586590
618,Fleqsuvy,2593377
619,Xofluza,2100001
620,Colazal,284700
621,Olumiant,2047242
622,Simulect,219912
623,Duavee,1441735
624,Tice BCG,94317
625,Regranex,219603
626,Qnasl,1248841
627,Beconase,151414
628,Qvar,226084
629,Sirturo,1364510
630,Blenrep,2387839
631,Nulojix,1112977
632,Benlysta,1092441
633,Beleodaq,1543548
634,Rezurock,2564032
635,Welireg,2567232
636,Nexletol,2282409
637,Nexlizet,2283231
638,Lotensin,218088
639,Lotensin HCT,218089
641,Cardalis,2566854
642,Bendeka,1726098
643,Belrapzo,2178262
644,Vivimusta,2622910
645,Treanda,741098
646,Altafluor,2099518
647,Fasenra,1989105
648,Ivy Block,320494
649,Horseman's Dream Fung-A-Way,1012515
650,ReadyBath,1038742
651,DigiSan E Foam,1038831
652,Keystone,1038852
653,WhiskCare 377,1039988
654,Zephiran,1049263
655,Safeguard Antibacterial Foaming,1053189
656,Pheneen,1089075
657,Mane 'N Tail Pro-Tect,1114979
658,Band-Aid Hurt-Free,1235018
659,Keepan,1246624
661,RevitaDERM Wound Care,1310816
662,Softsoap Antibacterial,1367078
663,Allercaine,1423324
664,Cicloferon,1431683
665,Servo Stat Bac,1442960
666,Lite 'N Foamy,1493156
667,Alocane Plus,1539437
668,Bactine,215543
669,Bactine Wound Wash,2475349
670,Alocane Max Strength,2477935
671,Tridergel,2671300
672,Pronto Plus Lice Egg Remover,729818
673,Oxy Gard,993258
674,Lanacane,1039169
675,Bedside-Care,1052607
676,New-Skin Liquid Bandage,1424283
677,NoRisc,1876388
678,Dermoplast Antibacterial,606761
679,Calagel,794924
680,StaphAseptic,795474
681,Zunveyl,2690633
683,Hyophen,1037229
684,Prosed DS,1245487
685,Provita Combat,1439932
686,Uribel Tabs,2670302
687,Ammonul,598000
688,Benzo-Jel,1009403
690,Little Ouchies,1039224
691,Cepacol Sore Throat Plus Cough,1039252
692,Chloraseptic Sore Throat + Cough,1045538
694,Tanac Liquid,1053336
695,Medicaine Sting,1094737
696,Bactimicina Sore Throat,1110709
697,Finafta Multi Oral,1110817
698,Benzodent,1112939
699,OraMagic Plus,1144128
700,Alpha-caine,1297827
701,Bucalsep,1304967
702,Docusol Plus,1433698
703,StingEze w/ Camphor,1435258
704,Off! Explore,1442151
705,Brace Relief,1482991
706,Orasep Reformulated Dec 2013,1485223
707,Red Cross Canker Sore,1489065
708,Anbesol,153287
709,Bencocaine,1541811
710,Dermawound Benzocaine,1552222
711,Salinocaine,1603378
712,Angidol,1658667
713,Fire Out,1866397
714,Sting-Kill,1868456
715,Cepastat Sore Throat & Cough,1872892
716,LolliCaine,1942184
717,Monistat Care,1991418
718,Candee Caine,1992038
719,Cetacaine,20604
720,Chloraseptic,20772
721,Americaine Hemorrhoidal,215204
722,Anacaine,215255
723,Foille,217180
724,Outgro Pain Relief,218975
725,Solarcaine Plus Aloe,219974
726,Zilactin B,221019
727,Cepacol,2229
728,StingX,2263161
729,Hurricaine,258349
730,Americaine,258350
731,Retre-Gel,262144
732,Numstat,2667821
733,BOIL-EASE,318132
734,Orabase,32485
735,Enemeez Plus,352624
736,Comfort Caine,543722
737,Gingicaine,543734
738,Freez Eez,543813
739,Topicale,543817
740,Medicone,603926
742,Benz-O-Sthetic,615960
743,Gelato Anesthetic,727985
744,Dermoplast Pain,763481
745,Orajel,798166
746,Chloraseptic Sore Throat,802556
747,Vagisil Original Formula,849739
748,Kolorz Anesthetic,856881
749,Cepacol Sore Throat Pain Relief,858658
750,Dent-O-Kain,880451
751,Tessalon Perles,220224
752,Zonatuss,904387
753,Fostex,1046584
754,Relovox,1094741
755,Benzamycin,117919
756,Myhelper,1292444
757,Benzepro,1302429
758,OC 8 Adult Acne,1305106
759,Effaclar Duo,1369778
760,Vital-Benz,1424009
761,Phisoderm Clear Confidence Spot Treatment,1435870
762,Riax,1439780
763,Clear Proof Acne Treatment,1489128
764,Neuac,1540242
765,Anti Bac,1541087
766,Onexton,1598820
767,Acne-Clear,214986
768,Benzac,215643
769,Clearplex,216085
770,Del-Aqua,216426
771,Enzoclear,2180346
772,Persa-Gel,219179
773,Triaz,220448
774,Vanoxide-HC,220750
775,Twyneo,2565808
776,Epsolay,2600965
778,Benzaclin,284668
779,Clearskin,404940
780,NuOx,606036
781,NeoBenz Micro,615959
782,Oscion,643831
783,Inova,669491
784,Soluclenz,804718
785,Acanya,810005
786,Pacnex,828433
788,Inova 8-2,856438
789,Benzefoam,866055
790,Desquam,992482
791,NeoBenz Micro Wash,995355
792,Cogentin,151532
794,Ivy Dry Super Continuous Spray,1290941
795,Ivarest Maximum Strength,1314972
796,Itch-X,217826
797,Ivy-Dry Cream,753292
798,Zilactin-L Cold Sore Liquid,849753
799,Ulesfia,853322
800,Zilactin Cold Sore,866354
801,Bepreve,863039
802,Survanta,202963
803,Vyjuvek,2637763
804,Orladeyo,2467566
805,Besivance,850306
807,B-Caro-T,215512
810,Cystadane,404967
811,Gentacalm,1367483
812,Betagen brand of Betamethasone and Gentamicin,1435263
813,Genone,1551489
814,Betavet,1660746
815,Otomax,1666754
816,Enstilar,1716095
817,Sernivo,1738537
818,Del-Beta,216427
819,Diprolene,216664
820,Wynzora,2471874
821,Luxiq,261566
822,Duotic,2703108
823,Osurnia,2704740
824,Celestone Soluspan,47847
825,Taclonex,748281
826,GentaVed,882520
827,Betoptic S,215673
828,Zynteglo,2610355
829,Mvasi,2046141
830,Zirabev,2268040
831,Alymsys,2599045
832,Vegzelma,2627652
833,Avzivi,2700737
834,Avastin,337521
835,Bexacat,2627050
836,Brenzavvy,2637860
837,Targretin,258324
838,Zinplava,1855053
839,Casodex,151495
840,Biktarvy,1999668
841,Florajen3,1236661
842,Evivo,2003328
843,Align,827148
845,Durysta,2286603
846,Lumigan,284771
847,Latisse,831948
848,Bimzelx,2668088
849,Mektovi,2049128
855,Lexinal,1659898
858,Appearex,705766
860,Filsuvez,2675588
861,Dulcolax,151672
862,Bisac-Evac,215693
863,Correct (New Formula),216229
864,The Magic Bullet,285140
865,Ex-lax Ultra,405055
866,Alophen Reformulated Jan 2008,750168
867,Evac-U-Gen Reformulated Jan 2008,751981
868,Feen-A-Mint Reformulated Jan 2008,751985
869,Correctol laxative Reformulated Feb 2008,754460
870,Pylera,705862
871,Devrom,1942840
872,Bismusal,1049296
873,Kola-Pectin,1090791
874,Percy Medicine,1233762
875,Estomaquil,1721450
876,Bismarex,215695
877,Pepto-bismol,54536
878,Kaopectate Reformulated Aug 2006,659118
879,Ziac,75038
880,Angiomax,285044
881,Blincyto,1597263
882,Folgard OS,1087282
883,Boruzu,2693992
884,Velcade,356733
885,Tracleer,323502
886,Bosulif,1307625
887,Xeomin,1000108
888,Dysport,151682
889,Botox,203279
890,Jeuveau,2117872
891,Daxxify,2612441
892,Letybo,2689291
893,Botox Cosmetic,604010
894,Myobloc,284792
895,BabyBIG,544492
896,Vyleesi,2176317
897,Adcetris,1147324
898,Zulresso,2121782
899,Rexulti,1658320
900,Tecartus,2387348
901,Alunbrig,1921223
902,Pad Kote,1372881
903,Simbrinza,1421452
904,Mirvaso,1436954
905,Alphagan,153358
906,Lumify,1999017
907,Combigan,746962
908,Tembexa,2599526
910,Azopt,194882
911,Briviact,1739750
912,Siliq,1872257
913,Beovu,2204921
914,Prolensa,1375918
915,Bromsite,1790142
916,Parlodel,38
917,Cycloset,859078
918,Bromfed DM,215741
919,Respa-BR,748663
920,BroveX CB,804570
921,Brovex PBC,804585
922,M-End PE,830707
923,Mar-cof BP,877459
924,Bromax,892537
925,Gold-Bloc,1114349
926,Soft-Tuch,1429380
927,Remain Gold,1547214
928,Uceris,1366551
929,Entocort,153171
930,Pulmicort,196487
931,Rhinocort,196488
932,Ortikos,2273102
933,Breztri,2387325
934,Tarpeyo,2587884
935,Breyna,2597666
937,Eohilia,2675281
938,Symbicort,327148
939,Bumex,203538
940,Marcaine,1012397
941,Exparel,1191509
942,Marcaine with Epinephrine,1372694
943,Sensorcaine,202942
944,Nocita,2198427
945,Sensorcaine with Epinephrine,219871
946,Xaracoll,2395793
947,Zynrelef,2560324
948,Posimir,2563413
949,Vivacaine,997822
950,Zubsolv,1431077
951,Bunavail,1542391
952,Simbadol,1594651
953,Belbuca,1716058
954,Probuphine,1797651
955,Sublocade,1996185
956,Buprenex,203840
957,Zorbium,2599847
958,Brixadi,2639023
959,Suboxone,352990
960,BuTrans,904871
961,Forfivo,1232586
962,Contrave,1551469
963,Auvelity,2611261
964,Wellbutrin,42568
965,Aplenzin,835486
966,Crysvita,2043860
967,Buspar,154990
968,Myleran,203010
969,Busulfex,284676
970,Butisol,1251601
985,Mentax,218315
986,Gynazole-1,261534
987,Torbugesic,1489987
988,Torphadine,2632847
989,Dolorex Solution,857190
990,Buscopan,203547
991,Ruconest,1599837
992,Haegarda,1926819
993,Cinryze,809868
994,Berinert,867378
995,Jevtana,996055
996,Vocabria,2475200
997,Apretude,2588044
998,Cometriq,1363274
999,Cabometyx,1790162
1000,Iodosorb,51470
1001,Iodoflex,731416
1012,Jet-Alert,1595302
1018,Cafergot,20027
1019,No Doz,202563
1025,Migergot,218377
1031,Vivarin,220917
1034,Cafcit,261469
1040,Pep-Back,747238
1042,Lantiseptic Multi-Purpose,1039035
1043,Ivarest,1233688
1045,Caladryl,215811
1046,Calagesic,215814
1047,Asparlas,2121422
1048,Rayaldee,1855067
1049,Calcitrene,1013633
1050,Sorilux,1020036
1052,Dovonex,216731
1055,Rocaltrol,152323
1056,Vectical,831894
1057,Phoslyra,1099805
1059,Nutrilyte,1547446
1060,Calphron,215849
1061,Phoslo,219236
1063,Ferrex 150 Forte Plus,1087246
1064,Niferex-150,68728
1065,Multigen,802647
1066,Multigen Plus,802648
1067,Encora AM Tablet,995856
1068,Encora PM Tablet,995860
1069,Folbecal,1087259
1071,FoliNatal Plus B,1088802
1072,Oysco 500 with D,1091283
1074,Os-Cal 500 with D,1243353
1075,Viactiv Calcium Plus D,1244926
1076,Slow-Mag Reformulated Feb 2012,1245384
1077,Cal-Quick,1299812
1078,Nutralox,1358863
1079,Caltrate Plus D,1372696
1080,Healthy Mama,1425175
1081,Ostercal-D,1437783
1082,Florical,171000
1083,Phazyme Gas & Acid,1741563
1084,Duo Fusion,1744392
1085,Mylicon Children's,1999196
1086,Tums with Gas Relief,2000680
1087,Alka-Mints,215111
1088,Alkums,215115
1089,Caltrate,215850
1090,Chooz,216050
1091,Monocal,218431
1092,OsCal 500,218959
1093,Titralac,220327
1094,Tums,220508
1095,Gas-X Total Relief,2590811
1096,Pepcid Complete,284831
1097,Gas-X with Maalox,405113
1098,Maalox Max Quick Dissolve,405187
1099,MagneBind,406156
1100,Rolaids Reformulated Aug 2006,642335
1101,MagneBind 400 Rx,655935
1102,Pepto-Bismol Children's,701389
1103,Titralac Plus,701675
1104,Oysco D,809556
1105,Osteo-Poretical,864666
1106,Tums Dual Action,867494
1109,Cal Gest,998701
1111,Extraneal,1100743
1112,Nutrilyte II,1547460
1113,Dianeal PD-2/4.25,800000
1114,Dianeal PD-2/2.5,800041
1115,Dianeal PD-2/1.5,800058
1116,Dianeal Low Calcium 1.5,800067
1117,Dianeal Low Calcium 4.25,800071
1118,Dianeal Low Calcium 2.5,800112
1124,BSS Ophthalmic Solution,806393
1125,Calcet,215819
1126,Calgonate,794236
1127,Prelief,723742
1128,Medi-Lyte,1090846
1129,Equalactin,216939
1130,Fiber Tab,217119
1131,FiberCon,217120
1132,Konsyl Fiber,217918
1136,Infasurf,232538
1137,Mentholatum,1042664
1138,Katinko,1045372
1139,Boroleum,1050088
1141,Polar Freeze,1086635
1142,Ortho-Nesic,1087239
1143,SOMBRA Warm Pain Relieving Gel,1090951
1144,Inflammation OTC Deep Pain Care,1148409
1145,Inflammation OTC Bruise,1148415
1146,Inflammation OTC Deep Pain Care Hot,1148424
1147,Fast Freeze,1232161
1149,Jointflex,1356305
1150,Unguentine Maximum Strength,1423411
1151,Vaporex,1432503
1152,Joint Formula 88 Max Plus,1432867
1153,Apeaz,1433498
1156,Bioease Pain Relieving Cold Therapy,1487157
1157,Flex24 Performance,1494217
1158,Eucamint,1663850
1159,China-Gel,1722360
1160,Rhuli,1923142
1161,Wong To Yick,1992047
1162,Dragon,2045467
1163,Campho-Phenique,215855
1164,Aulief,2168354
1165,Arcticzen,2699821
1166,Cartilade,496343
1167,Men-phor,605663
1168,DermaSarra,617663
1169,Banalg Muscle Pain Reliever,702416
1170,Flexall Ultra Plus,728528
1172,PainZone,761911
1173,Benadryl Children's Anti-Itch,877058
1174,Camphor Ice,880397
1175,Freeze It,979293
1176,Invokana,1373464
1177,Invokamet,1545151
1178,Ilaris,853495
1179,Atacand,215458
1180,Atacand HCT,284662
1181,Kengreal,1656057
1182,Epidiolex,2058901
1183,Ycanth,2643438
1184,Xeloda,220961
1185,Truqap,2669973
1186,Cablivi,2110610
1187,Tabrecta,2362235
1188,Capastat,202985
1189,Entyce,1986798
1190,Elura,2467544
1191,Dendracin Neurodendraxcin,1041531
1192,WellPatch,1045379
1193,Medrox,1086412
1194,ZIKS Pain Relief,1090031
1195,Arth-RX,1094380
1196,Medi-Derm,1099928
1197,Xoten-C,1125490
1198,Arthur Itis,1305871
1199,Medi-Derm with Lidocaine,1357984
1200,LidoPro,1425506
1201,Doloracin with Lidocaine,1432537
1202,Transanosil,1435885
1203,Equi-Block Original,1489401
1204,Zostrix Joint & Arthritis Pain Relief,1796133
1205,Satogesic Hot,1994399
1206,Capzasin-P,215874
1207,Menthac Arthritis Cream with Capsaicin,218316
1208,Red Hot,2597530
1209,Atomic Balm,2597535
1210,Zostrix Sports,284923
