Generic Name,RXCUI,Therapeutic Class
2-phenylphenol,236677,Biphenyl Compounds
2-pyrrolidone,1358473,Pyrrolidinones
2-tert-butylhydroquinone,1362739,Phenol structure-containing product
2-tert-butylhydroquinone,1362739,Hydroquinones
3'-hydroxyacetophenone,2560214,Acetophenones
"3,3'-diindolylmethane",1603521,Indoles
"3,7,11,15-tetramethyl-1,2,3-hexadecanetriol",1368211,Fatty Alcohols
"3,7-dimethyl-1-octanol",1601994,Terpenes
"3,7-dimethyloct-6-en-3-ol",2671293,Octanols
"3,7-dimethyloct-6-en-3-ol",2671293,Monoterpenes
"3,7-dimethyloctane-1,7-diol",1313707,Octanols
"3,7-dimethyloctane-1,7-diol",1313707,Monoterpenes
3-(3-methyl-2-thienyl)acrylic acid,2475074,Thiophenes
3-(triethoxysilyl)propylamine,1425088,Propylamines
3-(triethoxysilyl)propylamine,1425088,Silanes
3-aminophenol,1435285,Phenol structure-containing product
3-aminophenol,1435285,Aminophenols
3-carene,2395760,Bicyclic Monoterpenes
3-dimethylaminopropylamine,1661327,Diamines
"3-hexenyl acetate, (3Z)-",1426376,Acetates
"3-hexenyl salicylate, cis-",2359262,Salicylates
3-iodo-2-propynylbutylcarbamate,1426467,Carbamates
3-iodobenzylguanidine,14448,Acetylcholine receptor antagonist-containing product
3-iodobenzylguanidine,14448,Nitrogen and/or nitrogen compound-containing product
3-iodobenzylguanidine,14448,3-Iodobenzylguanidine
3-iodobenzylguanidine,14448,Other diagnostic radiopharmaceuticals for tumour detection
3-iodobenzylguanidine,14448,Radiopharmaceutical Activity
3-iodobenzylguanidine,14448,Radioactive Diagnostic Agent
3-iodobenzylguanidine,14448,Paraganglioma
3-iodobenzylguanidine,14448,Pheochromocytoma
3-iodobenzylguanidine,14448,Receptor Interactions
3-iodobenzylguanidine,14448,Increased Cellular Death
3-iodobenzylguanidine,14448,Iodine (131I) compounds
3-n-butylphthalide,1484499,Benzofurans
3-O-ethyl ascorbate,1373721,Ascorbic Acid
3-phenyl propionic acid,2627300,Phenylpropionates
3-phenyl-1-propanol,2479688,Propanols
"4,4'-dinitrocarbanilide",1546355,Carbanilides
4-(p-hydroxyphenyl)-2-butanone,1860422,Butanones
4-acetylanisole,2612428,Anisoles
"4-allyl-2,6-dimethoxyphenol",1423781,Eugenol
4-amino-2-hydroxytoluene,1740236,Aniline Compounds
4-amino-2-hydroxytoluene,1740236,Cresols
4-aminobenzoate,618974,para-Aminobenzoates
4-aminobenzoic acid,74,Protectives against UV-radiation for topical use
4-aminobenzoic acid,74,Amino acid derivative-containing product
4-aminobenzoic acid,74,Drug Hypersensitivity
4-aminobenzoic acid,74,4-Aminobenzoic Acid
4-aminobenzoic acid,74,Photosensitivity Disorders
4-aminobenzoic acid,74,Sunburn
4-aminobenzoic acid,74,Physiochemical Activity
4-aminobenzoic acid,74,Sunscreening Activity
4-aminobenzoic acid,74,Vitamin B Complex Member
4-aminohippuric acid,7832,Organic acid and/or organic acid derivative-containing product
4-aminohippuric acid,7832,p-Aminohippuric Acid
4-aminohippuric acid,7832,Tests for renal function and ureteral injuries
4-aminomethylbenzoic acid,14852,Amino acids
4-aminomethylbenzoic acid,14852,para-Aminobenzoates
4-aminophenol,1435279,Nitrogen and/or nitrogen compound-containing product
4-aminophenol,1435279,Aminophenols
4-anisic acid,1426595,Hydroxybenzoate Ethers
4-coumaric acid,1485787,Coumaric Acids
4-cresyl acetate,14997,Cresols
4-cymene,15002,Cymenes
4-dimethylaminophenol,15027,Aminophenols
4-dimethylaminophenol,15027,Antidotes
4-hydroxybenzoic acid,1649527,Parabens
4-hydroxybenzyl alcohol,2045942,Benzyl Alcohols
4-hydroxycyclophosphamide,2675983,Cyclophosphamide
4-methyl anisole,1313261,Anisoles
4-methyl-1-(1-methylethyl)-3-cyclohexen-1-ol,1314261,Menthol
4-methyl-3-decen-5-ol,2557379,Fatty Alcohols
"4-methylaminorex, cis-(+/-)-",2665286,Oxazoles
4-nonylphenol,1788868,Phenols
4-phenylenediamine,1362740,Nitrogen and/or nitrogen compound-containing product
4-phenylenediamine,1362740,Allergens
4-phenylenediamine,1362740,Aniline Compounds
4-phenylenediamine,1362740,Phenylenediamines
4-phenylenediamine,1362740,Increased Histamine Release
4-phenylenediamine,1362740,Cell-mediated Immunity
4-phenylenediamine,1362740,Standardized Chemical Allergen
4-tert-butylcyclohexanol,1373206,Cyclohexanols
4-tert-butylcyclohexyl acetate,2289005,Acetates
4-tert-butylcyclohexyl acetate,2289005,Cyclohexanes
5-bromo-4-chloro-3-indolyl phosphate,2665337,Indoles
"5-bromo-5-nitro-1,3-dioxane",1364947,Dioxanes
5-chloro-2-methyl-4-isothiazolin-3-one,1367119,Allergens
5-chloro-2-methyl-4-isothiazolin-3-one,1367119,Drug Hypersensitivity
5-chloro-2-methyl-4-isothiazolin-3-one,1367119,Thiazoles
5-chloro-2-methyl-4-isothiazolin-3-one,1367119,Immunologic Factor Interactions
5-chloro-2-methyl-4-isothiazolin-3-one,1367119,Increased Histamine Release
5-chloro-2-methyl-4-isothiazolin-3-one,1367119,Cell-mediated Immunity
5-chloro-2-methyl-4-isothiazolin-3-one,1367119,Standardized Chemical Allergen
5-hydroxylysine,1368166,Hydroxylysine
5-hydroxytryptophan,94,HERBS/ALTERNATIVE THERAPIES
5-hydroxytryptophan,94,Other antidepressants
5-hydroxytryptophan,94,5-Hydroxytryptophan
5-methoxypsoralen,15842,Psoralen-containing product
5-methoxypsoralen,15842,5-Methoxypsoralen
5-methoxypsoralen,15842,Psoralens for systemic use
5-methoxytryptamine,1426888,5-Methoxytryptamine
5-methyl-8-hydroxyquinoline,15850,Oxyquinoline
5-methyldeoxycytidine,2642190,Deoxycytidine
5-methyltetrahydrofolic acid,1313966,Tetrahydrofolates
6-aminocaproic acid,99,Amino acids
6-aminocaproic acid,99,ANTIHEMORRHAGICS
6-aminocaproic acid,99,Hemostatic agent
6-aminocaproic acid,99,Amino acid-containing product
6-aminocaproic acid,99,Disseminated Intravascular Coagulation
6-aminocaproic acid,99,Hemorrhage
6-aminocaproic acid,99,Aminocaproic Acid
6-aminocaproic acid,99,Enzyme Inhibitors
6-aminocaproic acid,99,Decreased Fibrinolysis
6-aminocaproic acid,99,Antifibrinolytic Agent
6-O-palmitoylascorbic acid,1088438,Ascorbic Acid
7-aminodesacetoxycephalosporanic acid,1990418,Cephalosporins
7-dehydrocholesterol,1362616,Dehydrocholesterols
"9,10-anthraquinone",1482551,Anthraquinones
abacavir,190521,"Antivirals for treatment of HIV infections, combinations"
abacavir,190521,ANTIVIRALS
abacavir,190521,Reverse transcriptase inhibitor-containing product
abacavir,190521,Nucleoside analog-containing product
abacavir,190521,Antiretroviral agent
abacavir,190521,Acquired Immunodeficiency Syndrome
abacavir,190521,Cyclopropanes
abacavir,190521,Drug Hypersensitivity
abacavir,190521,Dideoxyadenosine
abacavir,190521,Hepatic Insufficiency
abacavir,190521,Nucleoside and nucleotide reverse transcriptase inhibitors
abacavir,190521,Decreased Reverse Transcription to DNA
abacavir,190521,Nucleoside Reverse Transcriptase Inhibitors
abacavir,190521,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor
abacavir,190521,Cytochrome P450 1A1 Inhibitors
abaloparatide,1921069,Parathyroid and/or parathyroid hormone derivative-containing product
abaloparatide,1921069,"Osteoporosis, Postmenopausal"
abaloparatide,1921069,Parathyroid Hormone-Related Protein
abaloparatide,1921069,Parathyroid hormones and analogues
abaloparatide,1921069,Parathormone Receptor Agonists
abaloparatide,1921069,Bone Formation Stimulation
abaloparatide,1921069,Bone Resorption Stimulation
abaloparatide,1921069,Parathyroid Hormone-Related Peptide Analog
abaloparatide,1921069,PARATHYROID
abametapir,2475532,Nitrogen and/or nitrogen compound-containing product
abametapir,2475532,Dermatologic Activity Alteration
abametapir,2475532,Metalloprotease Inhibitors
abametapir,2475532,"Other ectoparasiticides, incl. scabicides"
abarelix,301739,Gonadotropin releasing hormone receptor antagonist-containing product
abarelix,301739,Polypeptide-containing product
abarelix,301739,Oligopeptides
abarelix,301739,Prostatic Neoplasms
abarelix,301739,Other hormone antagonists and related agents
abarelix,301739,Decreased Testosterone Secretion
abarelix,301739,Hypothalamic Hormone Receptor Antagonists
abarelix,301739,Gonadotropin Releasing Hormone Receptor Antagonists
abatacept,614391,Selective immunosuppressants
abatacept,614391,"ANTIRHEUMATICS,OTHER"
abatacept,614391,Immunomodulator-containing product
abatacept,614391,Fusion protein-containing product
abatacept,614391,Abatacept
abatacept,614391,"Arthritis, Juvenile"
abatacept,614391,"Arthritis, Rheumatoid"
abatacept,614391,Recombinant Fusion Proteins
abatacept,614391,"Arthritis, Psoriatic"
abatacept,614391,Decreased Cytokine Activity
abatacept,614391,CD80-directed Antibody Interactions
abatacept,614391,CD86-directed Antibody Interactions
abatacept,614391,Selective T Cell Costimulation Modulator
abatacept,614391,T Lymphocyte Costimulation Activity Blockade
"ABCB4 protein, human",2117853,"ATP Binding Cassette Transporter, Subfamily B"
abciximab,83929,Monoclonal antibody-containing product
abciximab,83929,Platelet aggregation inhibitor-containing product
abciximab,83929,Platelet aggregation inhibitors excl. heparin
abciximab,83929,Abciximab
abciximab,83929,"Angina, Unstable"
abciximab,83929,Arteriovenous Malformations
abciximab,83929,Brain Neoplasms
abciximab,83929,Cerebral Infarction
abciximab,83929,Drug Hypersensitivity
abciximab,83929,Hemorrhage
abciximab,83929,Hypertension
abciximab,83929,Thrombocytopenia
abciximab,83929,Vasculitis
abciximab,83929,Wounds and Injuries
abciximab,83929,Myocardial Ischemia
abciximab,83929,Decreased Platelet Aggregation
abciximab,83929,P-Glycoprotein Inhibitors
abemaciclib,1946825,Antineoplastic agent
abemaciclib,1946825,Protein kinase inhibitor-containing product
abemaciclib,1946825,Benzimidazole-containing product
abemaciclib,1946825,Aminopyridine-containing product
abemaciclib,1946825,Aminopyridines
abemaciclib,1946825,Benzimidazoles
abemaciclib,1946825,Breast Neoplasms
abemaciclib,1946825,Cyclin-dependent kinase (CDK) inhibitors
abemaciclib,1946825,Kinase Inhibitors
abemaciclib,1946825,Kinase Inhibitor
abemaciclib,1946825,Cellular Proliferation Alteration
abemaciclib,1946825,"ANTINEOPLASTIC,OTHER"
abetimus,1311600,Oligonucleotides
abetimus,1311600,Selective immunosuppressants
abiraterone,1100072,Abiraterone Acetate
abiraterone,1100072,Pregnancy
abiraterone,1100072,"Prostatic Neoplasms, Castration-Resistant"
abiraterone,1100072,Cytochrome P450 17A1 Inhibitors
abiraterone,1100072,Steroid-containing product
abiraterone,1100072,Androstenes
abiraterone,1100072,Other hormone antagonists and related agents
abiraterone,1100072,Cytochrome P450 2D6 Inhibitors
abiraterone,1100072,Cytochrome P450 17A1 Inhibitor
abiraterone,1100072,Cytochrome P450 2C8 Inhibitors
abiraterone,1100072,ANTINEOPLASTIC HORMONES
abiraterone,1100072,Poly (ADP-ribose) polymerase (PARP) inhibitors
abiraterone,1100072,"ANTINEOPLASTIC,OTHER"
abrocitinib,2591476,Janus kinase inhibitor-containing product
abrocitinib,2591476,Sulfonamide-containing product
abrocitinib,2591476,"Dermatitis, Atopic"
abrocitinib,2591476,Pyrimidines
abrocitinib,2591476,Sulfonamides
abrocitinib,2591476,"Agents for dermatitis, excluding corticosteroids"
abrocitinib,2591476,P-Glycoprotein Inhibitors
abrocitinib,2591476,Janus Kinase Inhibitors
abrocitinib,2591476,Janus Kinase Inhibitor
abrocitinib,2591476,"DERMATOLOGICALS,SYSTEMIC,OTHER"
ABT-925,1661017,Piperazines
ABT-925,1661017,Pyrimidines
Acacia dealbata pollen extract,2202946,Allergens
Acacia dealbata pollen extract,2202946,Pollen
Acacia dealbata pollen extract,2202946,Increased Histamine Release
Acacia dealbata pollen extract,2202946,Cell-mediated Immunity
Acacia dealbata pollen extract,2202946,Increased IgG Production
Acacia dealbata pollen extract,2202946,Non-Standardized Pollen Allergenic Extract
Acacia dealbata pollen extract,2202946,Allergen extracts
Acacia pollen extract,851732,Allergens
Acacia pollen extract,851732,Pollen
Acacia pollen extract,851732,Increased Histamine Release
Acacia pollen extract,851732,Cell-mediated Immunity
Acacia pollen extract,851732,Increased IgG Production
Acacia pollen extract,851732,Non-Standardized Pollen Allergenic Extract
Acacia pollen extract,851732,Allergen extracts
acalabrutinib,1986808,Antineoplastic agent
acalabrutinib,1986808,Benzimidazole-containing product
acalabrutinib,1986808,Non-specific protein-tyrosine kinase inhibitor-containing product
acalabrutinib,1986808,Benzamides
acalabrutinib,1986808,Pyrazines
acalabrutinib,1986808,"Lymphoma, Mantle-Cell"
acalabrutinib,1986808,Bruton's tyrosine kinase (BTK) inhibitors
acalabrutinib,1986808,Tyrosine Kinase Inhibitors
acalabrutinib,1986808,Kinase Inhibitor
acalabrutinib,1986808,Cellular Proliferation Alteration
acalabrutinib,1986808,"ANTINEOPLASTIC,OTHER"
acamprosate,82819,Acamprosate
acamprosate,82819,Alcoholism
acamprosate,82819,Drug Hypersensitivity
acamprosate,82819,Kidney Diseases
acamprosate,82819,GABA A Modulators
acamprosate,82819,Increased GABA Activity
acamprosate,82819,NMDA Receptor Antagonists
acamprosate,82819,Amino acid-containing product
acamprosate,82819,Drugs used in alcohol dependence
acamprosate,82819,ALCOHOL DETERRENTS
acarbose,16681,Alpha-glucosidase inhibitor-containing product
acarbose,16681,Carbohydrate-containing product
acarbose,16681,Alpha glucosidase inhibitors
acarbose,16681,"Colitis, Ulcerative"
acarbose,16681,"Diabetes Mellitus, Type 2"
acarbose,16681,Digestive System Abnormalities
acarbose,16681,Drug Hypersensitivity
acarbose,16681,Intestinal Obstruction
acarbose,16681,Liver Cirrhosis
acarbose,16681,Malabsorption Syndromes
acarbose,16681,Diabetic Ketoacidosis
acarbose,16681,Acarbose
acarbose,16681,alpha Glucosidase Inhibitors
acarbose,16681,Inhibition Carbohydrate Digestion
acarbose,16681,Amylase Inhibitors
acarbose,16681,alpha-Glucosidase Inhibitor
acarbose,16681,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
acebutolol,149,Acebutolol
acebutolol,149,Angina Pectoris
acebutolol,149,Bradycardia
acebutolol,149,Drug Hypersensitivity
acebutolol,149,Heart Failure
acebutolol,149,Hypertension
acebutolol,149,Hypotension
acebutolol,149,Myocardial Infarction
acebutolol,149,Pregnancy
acebutolol,149,Pulmonary Edema
acebutolol,149,"Shock, Cardiogenic"
acebutolol,149,Sick Sinus Syndrome
acebutolol,149,Ventricular Fibrillation
acebutolol,149,"Tachycardia, Ventricular"
acebutolol,149,Negative Chronotropy
acebutolol,149,Negative Inotropy
acebutolol,149,Adrenergic beta1-Antagonists
acebutolol,149,Decreased Blood Pressure
acebutolol,149,Beta-1 adrenergic receptor antagonist-containing product
acebutolol,149,Alcohol-containing product
acebutolol,149,Nitrogen and/or nitrogen compound-containing product
acebutolol,149,"Beta blocking agents, selective"
acebutolol,149,Adrenergic beta-Antagonists
acebutolol,149,beta-Adrenergic Blocker
acebutolol,149,BETA BLOCKERS/RELATED
acebutolol,149,"Beta blocking agents, selective, and thiazides"
acecarbromal,16688,Urea and/or urea derivative-containing product
acecarbromal,16688,Urea
aceclofenac,16689,Azole-containing product
aceclofenac,16689,Chlorinated hydrocarbon-containing product
aceclofenac,16689,Carboxylic acid and/or carboxylic acid derivative-containing product
aceclofenac,16689,"Arthritis, Rheumatoid"
aceclofenac,16689,Diclofenac
aceclofenac,16689,Osteoarthritis
aceclofenac,16689,"Spondylitis, Ankylosing"
aceclofenac,16689,Acetic acid derivatives and related substances
aceclofenac,16689,"Antiinflammatory preparations, non-steroids for topical use"
